year,month_year,cases
2018,Jan-2018,9841
2018,Feb-2018,8632
2018,Mar-2018,9604
2018,Apr-2018,8527
2018,May-2018,9148
2018,Jun-2018,8459
2018,Jul-2018,8189
2018,Aug-2018,5962
2018,Sep-2018,405
2018,Oct-2018,9516
2018,Nov-2018,8930
2018,Dec-2018,8408
2019,Jan-2019,9597
2019,Feb-2019,8796
2019,Mar-2019,9362
2019,Apr-2019,8734
2019,May-2019,8897
2019,Jun-2019,8176
2019,Jul-2019,8370
2019,Aug-2019,8575
2019,Sep-2019,8827
2019,Oct-2019,9223
2019,Nov-2019,8901
2019,Dec-2019,9098
2020,Jan-2020,10338
2020,Feb-2020,8697
2020,Mar-2020,9917
2020,Apr-2020,8406
2020,May-2020,7179
2020,Jun-2020,7786
2020,Jul-2020,8045
2020,Aug-2020,8104
2020,Sep-2020,7875
2020,Oct-2020,8736
2020,Nov-2020,8441
2020,Dec-2020,8779
2021,Jan-2021,9322
2021,Feb-2021,7919
2021,Mar-2021,8998
2021,Apr-2021,8367
2021,May-2021,7735
2021,Jun-2021,7886
2021,Jul-2021,7024
2021,Aug-2021,6939
2021,Sep-2021,2363
2021,Oct-2021,7642
2021,Nov-2021,7376
2021,Dec-2021,8002
2022,Jan-2022,7903
2022,Feb-2022,7084
2022,Mar-2022,8399
2022,Apr-2022,6827
2022,May-2022,7220
2022,Jun-2022,7462
2022,Jul-2022,6502
2022,Aug-2022,8128
2022,Sep-2022,8277
2022,Oct-2022,8210
2022,Nov-2022,8267
2022,Dec-2022,8226
2023,Jan-2023,5122
2023,Feb-2023,411
