year,month,week,province,disease,cases
2018,1,1,39,copd,125
2018,1,1,94,ihd,29
2018,1,1,75,asthma,2
2018,1,1,14,ihd,38
2018,1,1,25,copd,90
2018,1,1,80,ihd,60
2018,1,1,61,asthma,2
2018,1,1,91,copd,124
2018,1,1,0,ihd,1
2018,1,1,11,copd,137
2018,1,1,95,ihd,31
2018,1,1,76,asthma,11
2018,1,1,15,ihd,14
2018,1,1,26,copd,49
2018,1,1,81,ihd,28
2018,1,1,62,asthma,21
2018,1,1,92,copd,286
2018,1,1,1,ihd,1
2018,1,1,12,copd,107
2018,1,1,96,ihd,42
2018,1,1,77,asthma,19
2018,1,1,16,ihd,45
2018,1,1,27,copd,187
2018,1,1,82,ihd,19
2018,1,1,63,asthma,8
2018,1,1,93,copd,201
2018,1,1,2,ihd,2
2018,1,1,13,copd,117
2018,1,1,97,ihd,3
2018,1,1,17,ihd,16
2018,1,1,83,ihd,12
2018,1,1,64,asthma,6
2018,1,1,94,copd,390
2018,1,1,14,copd,143
2018,1,1,50,asthma,10
2018,1,1,80,copd,658
2018,1,1,18,ihd,5
2018,1,1,0,copd,11
2018,1,1,84,ihd,72
2018,1,1,65,asthma,33
2018,1,1,95,copd,246
2018,1,1,15,copd,78
2018,1,1,70,ihd,48
2018,1,1,51,asthma,4
2018,1,1,99,ihd,57
2018,1,1,81,copd,104
2018,1,1,19,ihd,16
2018,1,1,0,copd,1
2018,1,1,1,copd,1
2018,1,1,85,ihd,16
2018,1,1,66,asthma,5
2018,1,1,96,copd,66
2018,1,1,16,copd,187
2018,1,1,71,ihd,37
2018,1,1,52,asthma,19
2018,1,1,82,copd,132
2018,1,1,86,ihd,21
2018,1,1,67,asthma,14
2018,1,1,97,copd,6
2018,1,1,17,copd,71
2018,1,1,72,ihd,33
2018,1,1,53,asthma,9
2018,1,1,83,copd,68
2018,1,1,18,copd,127
2018,1,1,73,ihd,90
2018,1,1,54,asthma,4
2018,1,1,84,copd,505
2018,1,1,40,asthma,85
2018,1,1,70,copd,317
2018,1,1,99,copd,372
2018,1,1,19,copd,151
2018,1,1,74,ihd,14
2018,1,1,55,asthma,15
2018,1,1,85,copd,88
2018,1,1,60,ihd,41
2018,1,1,41,asthma,13
2018,1,1,71,copd,305
2018,1,1,75,ihd,5
2018,1,1,56,asthma,13
2018,1,1,86,copd,115
2018,1,1,61,ihd,17
2018,1,1,42,asthma,20
2018,1,1,72,copd,186
2018,1,1,76,ihd,32
2018,1,1,57,asthma,13
2018,1,1,7,copd,1
2018,1,1,62,ihd,28
2018,1,1,43,asthma,7
2018,1,1,73,copd,194
2018,1,1,77,ihd,27
2018,1,1,58,asthma,1
2018,1,1,63,ihd,24
2018,1,1,44,asthma,30
2018,1,1,74,copd,85
2018,1,1,30,asthma,80
2018,1,1,60,copd,300
2018,1,1,64,ihd,25
2018,1,1,45,asthma,36
2018,1,1,75,copd,64
2018,1,1,50,ihd,60
2018,1,1,31,asthma,10
2018,1,1,61,copd,144
2018,1,1,65,ihd,23
2018,1,1,46,asthma,10
2018,1,1,76,copd,169
2018,1,1,NULL,asthma,328
2018,1,1,51,ihd,24
2018,1,1,32,asthma,16
2018,1,1,62,copd,197
2018,1,1,66,ihd,78
2018,1,1,47,asthma,32
2018,1,1,77,copd,179
2018,1,1,52,ihd,25
2018,1,1,33,asthma,36
2018,1,1,63,copd,161
2018,1,1,67,ihd,59
2018,1,1,48,asthma,13
2018,1,1,53,ihd,11
2018,1,1,34,asthma,72
2018,1,1,64,copd,182
2018,1,1,20,asthma,15
2018,1,1,49,asthma,7
2018,1,1,50,copd,850
2018,1,1,54,ihd,14
2018,1,1,35,asthma,8
2018,1,1,65,copd,156
2018,1,1,40,ihd,101
2018,1,1,21,asthma,6
2018,1,1,51,copd,269
2018,1,1,55,ihd,37
2018,1,1,36,asthma,19
2018,1,1,66,copd,247
2018,1,1,41,ihd,50
2018,1,1,22,asthma,37
2018,1,1,52,copd,412
2018,1,1,56,ihd,22
2018,1,1,37,asthma,5
2018,1,1,67,copd,360
2018,1,1,42,ihd,15
2018,1,1,23,asthma,23
2018,1,1,53,copd,103
2018,1,1,57,ihd,25
2018,1,1,38,asthma,4
2018,1,1,43,ihd,27
2018,1,1,24,asthma,14
2018,1,1,54,copd,173
2018,1,1,90,asthma,11
2018,1,1,10,asthma,6
2018,1,1,58,ihd,3
2018,1,1,39,asthma,3
2018,1,1,40,copd,590
2018,1,1,44,ihd,60
2018,1,1,25,asthma,13
2018,1,1,55,copd,336
2018,1,1,91,asthma,5
2018,1,1,30,ihd,111
2018,1,1,11,asthma,37
2018,1,1,41,copd,335
2018,1,1,45,ihd,35
2018,1,1,26,asthma,1
2018,1,1,56,copd,260
2018,1,1,92,asthma,12
2018,1,1,31,ihd,76
2018,1,1,12,asthma,14
2018,1,1,42,copd,161
2018,1,1,46,ihd,40
2018,1,1,27,asthma,6
2018,1,1,57,copd,623
2018,1,1,NULL,ihd,680
2018,1,1,93,asthma,4
2018,1,1,32,ihd,34
2018,1,1,13,asthma,45
2018,1,1,43,copd,93
2018,1,1,47,ihd,32
2018,1,1,58,copd,100
2018,1,1,94,asthma,18
2018,1,1,33,ihd,73
2018,1,1,14,asthma,3
2018,1,1,44,copd,336
2018,1,1,80,asthma,14
2018,1,1,0,asthma,3
2018,1,1,48,ihd,23
2018,1,1,30,copd,810
2018,1,1,95,asthma,11
2018,1,1,34,ihd,29
2018,1,1,15,asthma,1
2018,1,1,45,copd,391
2018,1,1,81,asthma,4
2018,1,1,20,ihd,58
2018,1,1,1,asthma,1
2018,1,1,49,ihd,7
2018,1,1,31,copd,452
2018,1,1,96,asthma,5
2018,1,1,35,ihd,22
2018,1,1,16,asthma,24
2018,1,1,46,copd,379
2018,1,1,82,asthma,2
2018,1,1,NULL,copd,3558
2018,1,1,,copd,2
2018,1,1,21,ihd,39
2018,1,1,32,copd,185
2018,1,1,97,asthma,1
2018,1,1,36,ihd,89
2018,1,1,17,asthma,2
2018,1,1,47,copd,127
2018,1,1,83,asthma,1
2018,1,1,22,ihd,39
2018,1,1,33,copd,426
2018,1,1,37,ihd,9
2018,1,1,18,asthma,13
2018,1,1,48,copd,98
2018,1,1,84,asthma,26
2018,1,1,23,ihd,18
2018,1,1,34,copd,416
2018,1,1,70,asthma,13
2018,1,1,99,asthma,29
2018,1,1,38,ihd,22
2018,1,1,19,asthma,4
2018,1,1,20,copd,274
2018,1,1,49,copd,89
2018,1,1,85,asthma,2
2018,1,1,24,ihd,61
2018,1,1,35,copd,172
2018,1,1,90,ihd,105
2018,1,1,71,asthma,12
2018,1,1,10,ihd,41
2018,1,1,39,ihd,20
2018,1,1,21,copd,133
2018,1,1,86,asthma,2
2018,1,1,25,ihd,18
2018,1,1,36,copd,241
2018,1,1,91,ihd,17
2018,1,1,72,asthma,8
2018,1,1,11,ihd,36
2018,1,1,22,copd,272
2018,1,1,26,ihd,14
2018,1,1,37,copd,57
2018,1,1,92,ihd,45
2018,1,1,73,asthma,25
2018,1,1,12,ihd,24
2018,1,1,23,copd,152
2018,1,1,27,ihd,26
2018,1,1,38,copd,103
2018,1,1,93,ihd,38
2018,1,1,74,asthma,6
2018,1,1,13,ihd,16
2018,1,1,24,copd,204
2018,1,1,LA,ihd,1
2018,1,1,60,asthma,58
2018,1,1,90,copd,568
2018,1,1,10,copd,133
2018,12,1,47,copd,8
2018,12,1,22,ihd,8
2018,12,1,33,copd,39
2018,12,1,48,copd,3
2018,12,1,84,asthma,1
2018,12,1,34,copd,29
2018,12,1,38,ihd,1
2018,12,1,20,copd,16
2018,12,1,49,copd,1
2018,12,1,85,asthma,1
2018,12,1,24,ihd,1
2018,12,1,35,copd,6
2018,12,1,90,ihd,3
2018,12,1,10,ihd,8
2018,12,1,39,ihd,5
2018,12,1,21,copd,26
2018,12,1,36,copd,22
2018,12,1,11,ihd,3
2018,12,1,22,copd,19
2018,12,1,37,copd,3
2018,12,1,92,ihd,2
2018,12,1,73,asthma,1
2018,12,1,23,copd,11
2018,12,1,27,ihd,4
2018,12,1,38,copd,10
2018,12,1,93,ihd,2
2018,12,1,13,ihd,3
2018,12,1,24,copd,12
2018,12,1,90,copd,39
2018,12,1,10,copd,26
2018,12,1,39,copd,3
2018,12,1,94,ihd,2
2018,12,1,14,ihd,1
2018,12,1,25,copd,9
2018,12,1,80,ihd,3
2018,12,1,0,ihd,1
2018,12,1,91,copd,14
2018,12,1,11,copd,10
2018,12,1,95,ihd,1
2018,12,1,26,copd,7
2018,12,1,81,ihd,1
2018,12,1,62,asthma,1
2018,12,1,92,copd,23
2018,12,1,12,copd,11
2018,12,1,96,ihd,5
2018,12,1,16,ihd,5
2018,12,1,27,copd,8
2018,12,1,93,copd,10
2018,12,1,13,copd,3
2018,12,1,97,ihd,1
2018,12,1,17,ihd,1
2018,12,1,94,copd,46
2018,12,1,14,copd,5
2018,12,1,50,asthma,2
2018,12,1,80,copd,43
2018,12,1,18,ihd,3
2018,12,1,84,ihd,6
2018,12,1,95,copd,20
2018,12,1,15,copd,6
2018,12,1,99,ihd,3
2018,12,1,81,copd,3
2018,12,1,19,ihd,2
2018,12,1,66,asthma,2
2018,12,1,96,copd,32
2018,12,1,16,copd,11
2018,12,1,71,ihd,4
2018,12,1,82,copd,4
2018,12,1,17,copd,1
2018,12,1,72,ihd,4
2018,12,1,53,asthma,2
2018,12,1,83,copd,5
2018,12,1,18,copd,1
2018,12,1,73,ihd,9
2018,12,1,84,copd,40
2018,12,1,70,copd,17
2018,12,1,99,copd,17
2018,12,1,19,copd,12
2018,12,1,85,copd,1
2018,12,1,60,ihd,8
2018,12,1,71,copd,11
2018,12,1,75,ihd,1
2018,12,1,86,copd,6
2018,12,1,61,ihd,1
2018,12,1,72,copd,8
2018,12,1,76,ihd,1
2018,12,1,57,asthma,1
2018,12,1,62,ihd,5
2018,12,1,73,copd,9
2018,12,1,77,ihd,3
2018,12,1,74,copd,4
2018,12,1,30,asthma,6
2018,12,1,60,copd,23
2018,12,1,64,ihd,5
2018,12,1,75,copd,5
2018,12,1,50,ihd,3
2018,12,1,61,copd,12
2018,12,1,65,ihd,1
2018,12,1,76,copd,6
2018,12,1,NULL,asthma,19
2018,12,1,62,copd,13
2018,12,1,66,ihd,3
2018,12,1,47,asthma,2
2018,12,1,77,copd,7
2018,12,1,52,ihd,3
2018,12,1,33,asthma,4
2018,12,1,63,copd,4
2018,12,1,67,ihd,2
2018,12,1,34,asthma,2
2018,12,1,64,copd,18
2018,12,1,50,copd,62
2018,12,1,54,ihd,1
2018,12,1,65,copd,20
2018,12,1,40,ihd,11
2018,12,1,51,copd,14
2018,12,1,66,copd,12
2018,12,1,41,ihd,2
2018,12,1,52,copd,18
2018,12,1,56,ihd,1
2018,12,1,67,copd,16
2018,12,1,42,ihd,6
2018,12,1,53,copd,8
2018,12,1,38,asthma,1
2018,12,1,43,ihd,3
2018,12,1,24,asthma,1
2018,12,1,54,copd,4
2018,12,1,40,copd,25
2018,12,1,55,copd,32
2018,12,1,91,asthma,1
2018,12,1,30,ihd,2
2018,12,1,11,asthma,1
2018,12,1,41,copd,21
2018,12,1,45,ihd,2
2018,12,1,56,copd,11
2018,12,1,31,ihd,2
2018,12,1,42,copd,6
2018,12,1,46,ihd,1
2018,12,1,57,copd,46
2018,12,1,NULL,ihd,51
2018,12,1,32,ihd,7
2018,12,1,43,copd,4
2018,12,1,47,ihd,2
2018,12,1,58,copd,6
2018,12,1,94,asthma,3
2018,12,1,14,asthma,2
2018,12,1,44,copd,12
2018,12,1,80,asthma,1
2018,12,1,48,ihd,1
2018,12,1,30,copd,40
2018,12,1,95,asthma,2
2018,12,1,34,ihd,2
2018,12,1,45,copd,12
2018,12,1,20,ihd,3
2018,12,1,31,copd,34
2018,12,1,96,asthma,2
2018,12,1,35,ihd,1
2018,12,1,46,copd,10
2018,12,1,NULL,copd,184
2018,12,1,21,ihd,1
2018,12,1,32,copd,20
2018,12,1,97,asthma,1
2018,12,1,36,ihd,7
2018,1,2,84,ihd,109
2018,1,2,65,asthma,69
2018,1,2,95,copd,295
2018,1,2,15,copd,119
2018,1,2,70,ihd,60
2018,1,2,51,asthma,4
2018,1,2,99,ihd,88
2018,1,2,81,copd,171
2018,1,2,19,ihd,51
2018,1,2,0,copd,1
2018,1,2,1,copd,1
2018,1,2,85,ihd,10
2018,1,2,66,asthma,7
2018,1,2,96,copd,86
2018,1,2,5,ihd,1
2018,1,2,16,copd,324
2018,1,2,71,ihd,25
2018,1,2,52,asthma,44
2018,1,2,82,copd,154
2018,1,2,2,copd,1
2018,1,2,86,ihd,40
2018,1,2,67,asthma,17
2018,1,2,6,ihd,1
2018,1,2,97,copd,19
2018,1,2,17,copd,130
2018,1,2,72,ihd,62
2018,1,2,53,asthma,10
2018,1,2,83,copd,165
2018,1,2,3,copd,2
2018,1,2,18,copd,180
2018,1,2,73,ihd,138
2018,1,2,54,asthma,7
2018,1,2,84,copd,679
2018,1,2,4,copd,2
2018,1,2,40,asthma,97
2018,1,2,70,copd,440
2018,1,2,99,copd,579
2018,1,2,8,ihd,1
2018,1,2,19,copd,247
2018,1,2,74,ihd,11
2018,1,2,55,asthma,23
2018,1,2,85,copd,104
2018,1,2,60,ihd,65
2018,1,2,41,asthma,25
2018,1,2,71,copd,464
2018,1,2,75,ihd,8
2018,1,2,56,asthma,34
2018,1,2,86,copd,255
2018,1,2,61,ihd,16
2018,1,2,42,asthma,28
2018,1,2,72,copd,339
2018,1,2,76,ihd,54
2018,1,2,57,asthma,13
2018,1,2,62,ihd,35
2018,1,2,43,asthma,10
2018,1,2,73,copd,284
2018,1,2,77,ihd,55
2018,1,2,58,asthma,11
2018,1,2,63,ihd,19
2018,1,2,44,asthma,48
2018,1,2,74,copd,124
2018,1,2,30,asthma,133
2018,1,2,60,copd,430
2018,1,2,64,ihd,25
2018,1,2,45,asthma,49
2018,1,2,75,copd,85
2018,1,2,50,ihd,94
2018,1,2,31,asthma,23
2018,1,2,61,copd,174
2018,1,2,65,ihd,29
2018,1,2,46,asthma,30
2018,1,2,76,copd,203
2018,1,2,NULL,asthma,492
2018,1,2,51,ihd,51
2018,1,2,32,asthma,75
2018,1,2,62,copd,307
2018,1,2,66,ihd,81
2018,1,2,47,asthma,31
2018,1,2,77,copd,248
2018,1,2,52,ihd,30
2018,1,2,33,asthma,90
2018,1,2,63,copd,268
2018,1,2,67,ihd,106
2018,1,2,48,asthma,12
2018,1,2,53,ihd,5
2018,1,2,34,asthma,148
2018,1,2,64,copd,286
2018,1,2,20,asthma,21
2018,1,2,49,asthma,15
2018,1,2,50,copd,1380
2018,1,2,54,ihd,17
2018,1,2,35,asthma,1
2018,1,2,65,copd,301
2018,1,2,40,ihd,93
2018,1,2,21,asthma,21
2018,1,2,51,copd,622
2018,1,2,55,ihd,53
2018,1,2,36,asthma,25
2018,1,2,66,copd,457
2018,1,2,41,ihd,70
2018,1,2,22,asthma,42
2018,1,2,52,copd,678
2018,1,2,56,ihd,23
2018,1,2,37,asthma,1
2018,1,2,67,copd,554
2018,1,2,42,ihd,26
2018,1,2,23,asthma,6
2018,1,2,53,copd,110
2018,1,2,57,ihd,42
2018,1,2,38,asthma,1
2018,1,2,43,ihd,30
2018,1,2,24,asthma,15
2018,1,2,54,copd,222
2018,1,2,90,asthma,18
2018,1,2,10,asthma,13
2018,1,2,58,ihd,10
2018,1,2,39,asthma,8
2018,1,2,40,copd,752
2018,1,2,44,ihd,64
2018,1,2,25,asthma,6
2018,1,2,55,copd,611
2018,1,2,91,asthma,5
2018,1,2,30,ihd,177
2018,1,2,11,asthma,59
2018,1,2,41,copd,658
2018,1,2,45,ihd,61
2018,1,2,26,asthma,1
2018,1,2,56,copd,448
2018,1,2,92,asthma,16
2018,1,2,31,ihd,77
2018,1,2,12,asthma,19
2018,1,2,42,copd,257
2018,1,2,46,ihd,65
2018,1,2,27,asthma,4
2018,1,2,57,copd,906
2018,1,2,NULL,ihd,903
2018,1,2,93,asthma,11
2018,1,2,32,ihd,45
2018,1,2,13,asthma,41
2018,1,2,43,copd,150
2018,1,2,47,ihd,46
2018,1,2,58,copd,143
2018,1,2,94,asthma,30
2018,1,2,33,ihd,73
2018,1,2,14,asthma,4
2018,1,2,44,copd,534
2018,1,2,80,asthma,41
2018,1,2,48,ihd,45
2018,1,2,30,copd,1209
2018,1,2,95,asthma,6
2018,1,2,34,ihd,45
2018,1,2,15,asthma,1
2018,1,2,45,copd,532
2018,1,2,81,asthma,3
2018,1,2,20,ihd,105
2018,1,2,0,asthma,1
2018,1,2,49,ihd,10
2018,1,2,31,copd,753
2018,1,2,96,asthma,3
2018,1,2,35,ihd,18
2018,1,2,16,asthma,57
2018,1,2,46,copd,545
2018,1,2,NULL,copd,5462
2018,1,2,,copd,2
2018,1,2,21,ihd,50
2018,1,2,32,copd,479
2018,1,2,97,asthma,1
2018,1,2,36,ihd,97
2018,1,2,17,asthma,5
2018,1,2,47,copd,257
2018,1,2,22,ihd,50
2018,1,2,3,asthma,2
2018,1,2,33,copd,711
2018,1,2,37,ihd,19
2018,1,2,18,asthma,11
2018,1,2,48,copd,174
2018,1,2,84,asthma,30
2018,1,2,23,ihd,52
2018,1,2,34,copd,655
2018,1,2,70,asthma,7
2018,1,2,99,asthma,49
2018,1,2,38,ihd,21
2018,1,2,19,asthma,9
2018,1,2,20,copd,366
2018,1,2,49,copd,116
2018,1,2,85,asthma,5
2018,1,2,24,ihd,57
2018,1,2,35,copd,184
2018,1,2,90,ihd,93
2018,1,2,71,asthma,13
2018,1,2,10,ihd,42
2018,1,2,39,ihd,21
2018,1,2,21,copd,258
2018,1,2,86,asthma,6
2018,1,2,25,ihd,32
2018,1,2,36,copd,486
