date,cases
2018-01-31,319
2018-02-28,310
2018-03-31,282
2018-04-30,323
2018-05-31,313
2018-06-30,309
2018-07-31,381
2018-08-31,115
2018-09-30,26
2018-10-31,322
2018-11-30,290
2018-12-31,390
2019-01-31,225
2019-02-28,274
2019-03-31,336
2019-04-30,275
2019-05-31,280
2019-06-30,319
2019-07-31,262
2019-08-31,272
2019-09-30,374
2019-10-31,303
2019-11-30,316
2019-12-31,386
2020-01-31,285
2020-02-29,269
2020-03-31,319
2020-04-30,218
2020-05-31,269
2020-06-30,240
2020-07-31,241
2020-08-31,343
2020-09-30,255
2020-10-31,317
2020-11-30,369
2020-12-31,326
2021-01-31,381
2021-02-28,291
2021-03-31,306
2021-04-30,227
2021-05-31,267
2021-06-30,238
2021-07-31,184
2021-08-31,231
2021-09-30,51
2021-10-31,252
2021-11-30,259
2021-12-31,250
2022-01-31,305
2022-02-28,252
2022-03-31,231
2022-04-30,197
2022-05-31,275
2022-06-30,221
2022-07-31,271
2022-08-31,305
2022-09-30,211
2022-10-31,381
2022-11-30,260
2022-12-31,266
2023-01-31,142
2023-02-28,7
2023-03-31,0
2023-04-30,0
2023-05-31,0
2023-06-30,0
2023-07-31,0
2023-08-31,0
2023-09-30,0
2023-10-31,0
2023-11-30,0
2023-12-31,1
