date,cases
2018/01/31,5506
2018/02/28,5199
2018/03/31,5521
2018/04/30,5115
2018/05/31,5548
2018/06/30,5264
2018/07/31,5171
2018/08/31,3715
2018/09/30,265
2018/10/31,5653
2018/11/30,5261
2018/12/31,5024
2019/01/31,5621
2019/02/28,4981
2019/03/31,5379
2019/04/30,5435
2019/05/31,5149
2019/06/30,4936
2019/07/31,5395
2019/08/31,4766
2019/09/30,4814
2019/10/31,5183
2019/11/30,4881
2019/12/31,5063
2020/01/31,5461
2020/02/29,5171
2020/03/31,5125
2020/04/30,4332
2020/05/31,4033
2020/06/30,4736
2020/07/31,4296
2020/08/31,4437
2020/09/30,4360
2020/10/31,4276
2020/11/30,4654
2020/12/31,4787
2021/01/31,4484
2021/02/28,4169
2021/03/31,4903
2021/04/30,4146
2021/05/31,4131
2021/06/30,4169
2021/07/31,3260
2021/08/31,4024
2021/09/30,714
2021/10/31,3809
2021/11/30,4134
2021/12/31,4071
2022/01/31,3873
2022/02/28,3656
2022/03/31,4149
2022/04/30,3637
2022/05/31,3974
2022/06/30,3868
2022/07/31,3535
2022/08/31,4163
2022/09/30,3649
2022/10/31,4187
2022/11/30,4426
2022/12/31,4063
