year,week,province,disease,cases
2020,25,10,copd,487
2019,22,11,ihd,5
2021,51,12,ihd,77
2022,13,73,ihd,9
2019,40,12,copd,157
2022,31,74,copd,130
2020,34,11,asthma,61
2018,5,10,asthma,10
2019,49,13,asthma,38
2020,8,13,copd,192
2022,41,73,copd,159
2020,18,12,copd,145
2019,32,10,ihd,142
2019,50,11,copd,188
2020,27,13,asthma,7
2020,44,10,asthma,35
2022,50,74,asthma,11
2019,15,13,ihd,17
2019,25,12,ihd,73
2022,16,74,ihd,16
2021,48,73,ihd,28
2018,8,11,asthma,71
2020,5,74,copd,7
2019,43,13,copd,185
2018,50,13,ihd,37
2018,18,10,asthma,3
2022,26,73,ihd,32
2022,44,74,copd,23
2019,35,11,ihd,43
2020,24,74,asthma,41
2020,15,73,copd,139
2021,51,74,ihd,10
2022,26,13,ihd,9
2020,34,73,asthma,37
2021,9,12,asthma,33
2019,22,73,ihd,3
2019,40,74,copd,102
2020,18,74,copd,71
2019,50,73,copd,217
2022,36,12,ihd,61
2021,19,11,asthma,33
2021,10,10,copd,427
2021,3,12,copd,222
2019,25,74,ihd,9
2022,46,11,ihd,51
2021,12,13,asthma,26
2021,29,10,asthma,27
2018,8,73,asthma,68
2021,13,11,copd,124
2022,39,13,ihd,32
2020,10,12,ihd,96
2019,35,73,ihd,43
2020,45,10,copd,515
2021,22,12,asthma,9
2020,28,13,copd,126
2021,53,12,copd,20
2018,18,12,asthma,9
2020,38,12,copd,271
2020,47,13,asthma,23
2018,9,11,copd,64
2020,20,11,ihd,32
2021,9,74,asthma,9
2019,3,10,asthma,84
2018,19,10,copd,141
2018,28,11,asthma,60
2022,36,74,ihd,12
2018,2,13,copd,171
2020,48,11,copd,226
2020,30,10,ihd,154
2019,45,12,ihd,54
2020,13,13,ihd,32
2021,19,73,asthma,11
2018,21,13,asthma,57
2018,12,12,copd,148
2021,3,74,copd,103
2022,46,73,ihd,16
2020,10,74,ihd,14
2022,14,10,asthma,28
2019,48,13,ihd,25
2018,31,12,asthma,4
2018,4,10,ihd,48
2021,13,73,copd,104
2018,22,11,copd,94
2021,22,74,asthma,1
2021,30,10,copd,3
2021,13,13,copd,72
2022,7,12,asthma,35
2020,38,74,copd,146
2018,9,73,copd,58
2021,39,11,asthma,1
2020,20,73,ihd,27
2021,53,74,copd,10
2018,18,74,asthma,2
2018,28,73,asthma,82
2021,32,13,asthma,23
2020,48,73,copd,220
2021,23,12,copd,211
2021,5,11,ihd,57
2022,17,11,asthma,39
2022,8,10,copd,617
2019,45,74,ihd,8
2021,49,10,asthma,32
2021,15,10,ihd,87
2021,33,11,copd,123
2021,42,12,asthma,37
2018,12,74,copd,128
2019,6,13,asthma,62
2021,43,10,copd,635
2018,22,73,copd,156
2021,8,12,ihd,46
2020,40,11,ihd,19
2021,26,13,copd,89
2021,52,11,asthma,46
2019,23,10,asthma,42
2021,39,73,asthma,2
2018,22,13,copd,53
2022,7,74,asthma,9
2019,7,11,copd,286
2020,50,10,ihd,157
2019,16,12,asthma,10
2020,33,13,ihd,36
2021,23,74,copd,106
2020,43,12,ihd,18
2018,14,11,ihd,23
2019,26,11,asthma,46
2021,5,73,ihd,51
2019,17,10,copd,876
2018,32,12,copd,172
2018,41,13,asthma,46
2022,17,73,asthma,52
2020,53,11,ihd,31
2021,33,73,copd,121
2018,7,13,ihd,27
2018,24,10,ihd,29
